identity_bin,n,blast_recall,embedding_recall
10_to_20,3,0.333333,0.000000
20_to_30,806,0.287841,0.177419
30_to_40,701,0.211127,0.166904
40_to_50,223,0.170404,0.080717
50_to_60,60,0.116667,0.050000
60_to_70,12,0.500000,0.500000
70_to_80,3,0.666667,0.666667
80_to_90,2,1.000000,1.000000
90_to_100,1,1.000000,1.000000
