identity_bin,n,blast_recall,embedding_recall
20_to_30,75,0.400000,0.293333
30_to_40,103,0.524272,0.242718
40_to_50,67,0.746269,0.388060
50_to_60,55,0.927273,0.636364
60_to_70,49,1.000000,0.795918
70_to_80,30,0.933333,0.900000
80_to_90,19,1.000000,1.000000
90_to_100,206,1.000000,1.000000
