scenario,method,precision,recall,f1,n
all,BLAST_alignment,0.924845,0.920910,0.916085,1846
all,Embedding_model,0.500000,0.500000,0.500000,1846
low_identity_lt_40,BLAST_alignment,0.842373,0.649171,0.664266,362
low_identity_lt_40,Embedding_model,0.500000,0.500000,0.500000,362
