identity_bin,n,blast_recall,embedding_recall
10_to_20,101,0.267327,0.000000
20_to_30,806,0.287841,0.401985
30_to_40,701,0.211127,0.432240
40_to_50,223,0.170404,0.443946
50_to_60,101,0.099010,0.198020
60_to_70,101,0.534653,0.445545
70_to_80,101,0.584158,1.000000
80_to_90,2,1.000000,1.000000
90_to_100,1,1.000000,1.000000
