identity_bin,n,blast_recall,embedding_recall
10_to_20,3,0.333333,0.000000
20_to_30,278,0.726619,0.510791
30_to_40,207,0.681159,0.565217
40_to_50,54,0.666667,0.333333
50_to_60,8,0.625000,0.375000
60_to_70,6,0.666667,0.500000
70_to_80,0,NA,NA
80_to_90,1,1.000000,1.000000
90_to_100,1,1.000000,1.000000
