identity_bin,n,blast_recall,embedding_recall
10_to_26.374,139,0.762590,0.539568
26.374_to_29.885,137,0.671533,0.452555
29.885_to_35,141,0.695035,0.581560
35_to_100,141,0.673759,0.468085
