identity_bin,n,blast_recall,embedding_recall
20_to_30,21,0.571429,0.380952
30_to_40,30,0.800000,0.366667
40_to_50,19,0.947368,0.210526
50_to_70,36,1.000000,0.527778
70_to_90,32,1.000000,0.531250
