identity_bin,n,blast_recall,embedding_recall
20_to_25,7,0.142857,0.142857
25_to_30,14,0.785714,0.642857
30_to_35,12,0.666667,0.416667
35_to_40,18,0.888889,0.333333
40_to_45,15,0.933333,0.333333
45_to_50,4,1.000000,0.500000
50_to_60,19,1.000000,0.631579
60_to_70,17,1.000000,0.470588
70_to_80,15,1.000000,0.733333
80_to_90,17,1.000000,0.352941
