split,n_train,n_test,precision,recall,f1,accuracy,leakage_rate,threshold
random_stratified_seed42,451,113,0.929808,0.929204,0.929215,0.929204,0.504425,60.0
identity_clustered,445,119,0.971188,0.949580,0.955755,0.949580,0.000000,60.0
