split,n_train,n_test,precision,recall,f1,accuracy,leakage_rate,threshold
random_stratified_seed42,451,113,0.929808,0.929204,0.929215,0.929204,0.000000,50.0
identity_clustered,451,113,0.955735,0.955752,0.955665,0.955752,0.000000,50.0
