contrast,metric,mean,sd,n,t_ci_lo,t_ci_hi,boot_ci_lo,boot_ci_hi,p_paired
CW-GAC,ARG_norm,0.25569529060985136,0.8345629130594577,4,-1.0722805389865884,1.583671120206291,-0.5460859854290371,0.8572196969770642,0.5833550853589269
CW-AOP,ARG_norm,-0.5524681250102113,0.7185884516156176,4,-1.6959027064420424,0.5909664564216199,-1.1814774410953315,0.05841865669898133,0.22173886859033462
GAC-AOP,ARG_norm,-0.8081634156200626,0.22730707579542983,4,-1.1698596973850672,-0.4464671338550579,-0.9902977509158106,-0.6260290803243146,0.005723135622613038
CW-GAC,intI1_norm,0.5189996219079476,0.7258710560700664,4,-0.6360232083433355,1.6740224521592306,-0.070874678736364,1.1705622387214971,0.24807361913218423
CW-AOP,intI1_norm,0.7571840234294853,0.6301934529313428,4,-0.24559438951818158,1.7599624363771522,0.24395892241726028,1.2704091244417102,0.09561446424000543
GAC-AOP,intI1_norm,0.23818440152153766,0.4410881618460433,4,-0.4636852939641237,0.940054097007199,-0.11270106066362344,0.5890698637066988,0.35923258025631233
