line,gene,abs_log_removal_mean,abs_log_removal_sd,norm_log_removal_mean,norm_log_removal_sd,n_campaigns
CW,blaAmpC,1.8253996414975586,0.8872134745174901,0.3790003214123323,0.3056508308140792,4
CW,ermB,2.2763905496581627,1.5086136081742032,0.8299912295729359,0.5370548165604714,4
CW,sul1,2.0619263937720165,1.583324524337616,0.6155270736867904,0.7541760884674271,4
CW,sul2,1.6287840179979718,1.3382690321300261,0.18238469791274536,0.5781484019769928,4
CW,tetW,2.210260437272903,1.2293888434890057,0.7638611171876766,0.3968431814907917,4
CW,intI1,2.2580411188936904,1.60737119196674,0.8116417988084637,0.6708804705280491,4
GAC,blaAmpC,1.0222911551136642,0.6378056397876959,0.3750927671670978,0.6908317336095146,4
GAC,ermB,1.4357846780495362,0.9684357049306606,0.7885862901029698,1.1769437924545674,4
GAC,sul1,0.7867297621918188,0.7566780075761157,0.13953137424525225,0.33550267825592434,4
GAC,sul2,0.7531903147409843,0.6150492786521359,0.10599192679441781,0.36688599820327505,4
GAC,tetW,0.7302840163600528,1.0565102985277697,0.08308562841348645,0.8835821239677613,4
GAC,intI1,0.9398405648470827,0.5263860910698724,0.2926421769005161,0.5042530344167011,4
AOP,blaAmpC,1.1091075901345337,0.8531678604709205,0.7000928265711506,0.398629812565569,4
AOP,ermB,2.599551347186278,0.8240586504379246,2.1905365836228943,0.9209862767405224,4
AOP,sul1,1.3314477789869503,0.3255297707230914,0.9224330154235668,0.8168481547984914,4
AOP,sul2,0.30978759115149457,0.4858232115642816,-0.09922717241188886,0.7360930441179327,4
AOP,tetW,2.2282845751811973,1.5673276273576187,1.819269811617814,0.56973671207349,4
AOP,intI1,0.46347253894236184,1.08687111311783,0.054457775378978446,0.20497849394774192,4
