model,formula,r_squared,adjusted_r_squared,n
MGE_only_with_controls,arg_t1 ~ mge_abundance + C(study) + sequencing_depth,0.998709,0.998136,14
MGE_plus_entropy_with_controls,arg_t1 ~ mge_abundance + entropy + C(study) + sequencing_depth,0.999375,0.998984,14
difference_model,d_arg_t1 ~ d_mge_t,0.176265,0.101380,13
granger_base_arg_history,arg_t1 ~ arg_total + C(study) + sequencing_depth,0.998943,0.998473,14
granger_full_arg_history_plus_mge,arg_t1 ~ arg_total + mge_abundance + C(study) + sequencing_depth,0.998946,0.998288,14
