sample_id,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,aminoglycoside antibiotic,cephalosporin;penicillin beta-lactam,disinfecting agents and antiseptics,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,macrolide antibiotic;streptogramin antibiotic,penicillin beta-lactam,peptide antibiotic;rifamycin antibiotic,phenicol antibiotic,sulfonamide antibiotic;sulfone antibiotic
SRR25475464,1.56091470e-07,2.02918910e-06,4.68274409e-07,1.56091470e-07,3.12182939e-07,3.12182939e-07,3.12182939e-07,1.56091470e-07,1.71700617e-06,3.12182939e-07,2.80964645e-06
SRR30403277,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
